Table,Effective Ratio,Fixed Count
AcademicWeek,,0
Account,,0
AccountabilityRating,,0
Achievement,,0
Actual,,0
Assessment,,1492
AssessmentFamily,,0
AssessmentItem,,2216
BellSchedule,,0
Budget,,0
CalendarDate,0.571615951,
ClassPeriod,0.438797157,
Cohort,,0
ContractedStaff,,0
Course,,0
CourseOffering,1.191678792,
DisciplineAction,0.191282343,
DisciplineIncident,0.221129879,
EducationContent,,0
EducationOrganization,0,
EducationOrganizationInterventionPrescriptionAssociation,,0
EducationOrganizationNetwork,,0
EducationOrganizationNetworkAssociation,,0
EducationServiceCenter,,0
FeederSchoolAssociation,,0
Grade,14.22309947,
GradebookEntry,,0
GradingPeriod,,1994
GraduationPlan,0.018557179,
Intervention,,0
InterventionPrescription,,0
InterventionStudy,,0
LearningObjective,,581
LearningStandard,,2462
LeaveEvent,,0
LocalEducationAgency,,0
LocalEducationAgencyFederalFunds,,0
Location,0.070217836,
ObjectiveAssessment,,1590
OpenStaffPosition,,0
Parent,6.052904831,
Payroll,,0
PostSecondaryEvent,,0
PostSecondaryInstitution,,0
Program,,766
ReportCard,,0
RestraintEvent,,0
School,,0
Section,1.193024188,
Session,,1471
Staff,0.102465153,
StaffEducationOrganizationAssignmentAssociation,0.117719997,
StaffEducationOrganizationEmploymentAssociation,,0
StaffProgramAssociation,,0
StateEducationAgency,,0
StateEducationAgencyFederalFunds,,0
Student,1,
StudentAcademicRecord,3.5495793,
StudentAssessment,15.12053731,
StudentCompetencyLearningObjective,,0
StudentCompetencyObjective,,0
StudentCTEProgramAssociation,,0
StudentEducationOrganizationAssociation,,0
StudentInterventionAssociation,,0
StudentInterventionAttendanceEvent,,0
StudentMigrantEducationProgramAssociation,,0
StudentProgramAssociation,0.955235022,
StudentProgramAttendanceEvent,,0
StudentSchoolAssociation,0.912831868,
StudentSchoolAttendanceEvent,,0
StudentSectionAssociation,14.92592733,
StudentSectionAttendanceEvent,12.25010438,
StudentSpecialEdProgramAssociation,0.106623648,
StudentTitleIPartAProgramAssociation,,0
StaffSchoolAssociation,0.075215622,
StaffSectionAssociation,1.078479998,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
